	2	5	7	12
0	1	1	1	1
0.6	0.999774	0.999775	0.999776	0.99978
1.2	0.999098	0.999101	0.999105	0.999121
1.8	0.997973	0.99798	0.997987	0.998024
2.4	0.996402	0.996413	0.996427	0.996493
3	0.994389	0.994407	0.994429	0.994531
3.6	0.991939	0.991965	0.991996	0.992143
4.2	0.989059	0.989094	0.989137	0.989337
4.8	0.985755	0.985802	0.985857	0.986119
5.4	0.982037	0.982096	0.982166	0.982497
6	0.977914	0.977986	0.978073	0.978482
6.6	0.973395	0.973483	0.973588	0.974083
7.2	0.968493	0.968597	0.968723	0.969312
7.8	0.963219	0.963342	0.963489	0.96418
8.4	0.957587	0.957729	0.9579	0.958702
9	0.95161	0.951773	0.951969	0.952891
9.6	0.945302	0.945488	0.945711	0.946762
10.2	0.938679	0.938889	0.939141	0.94033
10.8	0.931756	0.931991	0.932275	0.93361
11.4	0.92455	0.924812	0.925128	0.926621
12	0.917077	0.917368	0.917719	0.917962
12.6	0.909355	0.909676	0.910064	0.906654
13.2	0.9014	0.901754	0.902182	0.883979
13.8	0.893232	0.89362	0.894089	0.859129
14.4	0.884868	0.885292	0.885805	0.828385
15	0.876326	0.876789	0.877349	0.796466
15.6	0.867627	0.868131	0.868739	0.765006
16.2	0.858788	0.859335	0.859996	0.73061
16.8	0.849829	0.850421	0.851139	0.694534
17.4	0.840769	0.84141	0.842187	0.655287
18	0.831629	0.832322	0.833161	0.620185
18.6	0.822427	0.823175	0.824082	0.580014
19.2	0.813184	0.813991	0.808803	0.542379
19.8	0.803921	0.80479	0.784345	0.501926
20.4	0.794657	0.795594	0.751595	0.46297
21	0.785414	0.786424	0.713839	0.424042
21.6	0.776214	0.763117	0.672655	0.381959
22.2	0.767078	0.719242	0.628435	0.340908
22.8	0.758029	0.67036	0.58168	0.301155
23.4	0.749091	0.612036	0.528332	0.263882
24	0.740289	0.549418	0.47039	0.224366
24.6	0.671307	0.479403	0.405492	0.181023
25.2	0.531064	0.413113	0.344475	0.14916
25.8	0.360486	0.346233	0.28267	0.114501
26.4	0.202461	0.273861	0.214955	0.082196
27	0.060153	0.203185	0.153504	0.054491
27.6	0	0.128334	0.087644	0.02452
28.2	0	0.049126	0.027653	0.010327
28.8	0	0	0	0
29.4	0	0	0	0
30	0	0	0	0
